origin,destination,demand,index
1,2,109.272,1
2,3,486.48,1
2,28,189.52,1
3,21,187.68,1
4,26,142.88,1
4,31,407.12,1
4,20,481.28,1
4,6,791.04,1
6,22,170.56,1
7,13,127.12,1
7,15,137.84,1
8,17,118.4,1
10,14,100.8,1
10,27,101.44,1
11,22,103.2,1
12,28,106.4,1
12,26,102.64,1
12,18,110.24,1
12,1,128.16,1
13,4,100.8,1
14,2,113.44,1
14,34,101.44,1
14,15,100.8,1
15,37,101.2,1
15,18,100.8,1
16,32,102.4,1
16,14,100.8,1
17,18,104.64,1
17,21,112.24,1
19,33,110,1
20,26,100.8,1
21,12,109.04,1
21,36,115.04,1
21,26,109.44,1
23,26,104.8,1
26,33,122.64,1
26,23,103.44,1
28,21,130.88,1
29,30,113.84,1
30,37,101.92,1
31,6,162.64,1
32,2,193.2,1
33,9,119.12,1
34,13,130.48,1
34,1,205.04,1
37,8,100.8,1
37,22,104.64,1
37,31,112.88,1
38,10,114.08,1
38,19,121.84,1
