origin,destination,demand,index
1,10,1514.4,1
2,43,1972,1
8,35,758,1
8,123,254,1
11,55,266,1
15,72,1547.4,1
19,141,414,1
20,383,3400,1
32,78,1210,1
34,306,282,1
37,22,338,1
38,246,282,1
38,167,4262,1
42,167,1262,1
47,209,928,1
50,152,264,1
51,227,1094,1
51,58,432,1
54,174,266,1
54,164,2030,1
60,161,436,1
61,273,274,1
67,103,460,1
71,203,258,1
74,66,895.8,1
77,67,1410.6,1
85,133,634.2,1
94,304,252,1
96,86,1956,1
99,359,782,1
102,114,1080,1
104,81,1662,1
107,88,1034.4,1
111,46,458,1
111,319,254,1
123,98,669.8,1
124,12,358,1
124,120,1305.4,1
140,78,442,1
140,138,2482,1
143,187,446,1
145,151,896,1
145,161,2314,1
146,142,4364,1
146,158,2563.2,1
147,39,698,1
147,190,884,1
149,219,264,1
155,300,288,1
156,113,384,1
170,240,274,1
179,157,788,1
187,13,274,1
187,325,270,1
189,1,258,1
196,149,460,1
202,255,254,1
202,195,4336,1
204,144,268,1
207,257,280,1
209,15,488,1
220,64,4566,1
222,225,815,1
222,24,402,1
238,250,1044,1
239,64,624,1
242,147,454,1
245,245,976.2,1
248,219,440,1
249,54,472,1
251,204,450,1
251,139,452,1
252,137,284,1
254,157,256,1
262,158,272,1
264,45,252,1
271,329,470,1
272,168,252,1
272,266,1068,1
272,274,526,1
285,338,282,1
289,160,622,1
291,278,1182,1
301,134,270,1
319,146,416,1
320,43,412,1
320,31,286,1
321,322,4608,1
326,335,322,1
327,270,258,1
330,303,254,1
330,278,360,1
332,318,262,1
343,342,254,1
353,117,464,1
356,95,518,1
360,15,406,1
363,297,266,1
366,348,348,1
376,20,462,1
