origin,destination,demand,index
1,10,530.04,1
2,43,690.2,1
5,36,3594.5,1
8,123,201.4,1
8,35,265.3,1
12,116,206.3,1
19,35,1857.1,1
32,78,423.5,1
34,306,211.2,1
36,1,553,1
38,246,211.2,1
38,167,1491.7,1
41,73,4143.3,1
47,209,324.8,1
49,66,834.33,1
51,227,382.9,1
54,174,205.6,1
59,105,200.7,1
60,161,265.1,1
61,273,208.4,1
64,63,1809.15,1
67,139,204.9,1
67,204,202.8,1
71,203,202.8,1
77,67,4937.1,1
78,77,3534.16,1
79,38,225.9,1
80,124,202.1,1
83,297,204.2,1
83,34,335.1,1
85,133,2219.7,1
88,86,1009.96,1
94,67,286.1,1
97,312,215.4,1
99,359,273.7,1
101,19,1192.8,1
101,280,224.5,1
104,81,581.7,1
104,313,223.8,1
107,88,3620.4,1
111,46,272.8,1
123,98,2344.3,1
123,191,342.1,1
124,120,4568.9,1
140,138,868.7,1
140,78,267.2,1
145,161,809.9,1
146,142,1527.4,1
146,158,897.12,1
147,190,309.4,1
147,82,1130.01,1
149,219,204.9,1
155,300,213.3,1
156,113,246.9,1
163,76,230.1,1
170,42,1780.1,1
179,157,275.8,1
187,325,207,1
189,1,202.8,1
189,111,202.1,1
190,114,200.7,1
191,265,242.2,1
192,84,200.7,1
202,195,1517.6,1
204,144,206.3,1
209,373,261.6,1
210,72,1661.8,1
217,52,382,1
222,225,2852.5,1
222,256,389.7,1
225,12,204.9,1
230,95,201.4,1
233,256,201.4,1
239,64,218.4,1
245,245,3416.7,1
254,165,333,1
256,204,214.7,1
264,45,200.7,1
269,282,249.7,1
272,266,373.8,1
272,78,218.2,1
282,61,200.7,1
288,343,298,1
288,333,209.1,1
289,160,217.7,1
291,278,413.7,1
298,153,241.3,1
305,279,222.4,1
316,316,743.47,1
317,33,204.9,1
319,146,258.1,1
320,43,344.2,1
327,270,202.8,1
330,278,238.5,1
336,296,200.7,1
339,153,202.1,1
360,15,254.6,1
363,297,205.6,1
366,348,234.3,1
375,371,214.7,1
