origin,destination,demand,index
1,10,1514.4,1
2,43,1972,1
6,1,2474,1
6,114,254,1
7,55,278,1
8,35,758,1
8,123,254,1
8,163,254,1
8,63,807.8,1
8,56,384,1
10,231,534,1
11,55,266,1
11,127,328,1
15,72,1547.4,1
17,83,2262,1
19,141,414,1
20,383,3400,1
23,135,3264,1
25,161,3208,1
25,267,888,1
25,283,312,1
25,152,360,1
26,358,436,1
27,161,684,1
32,78,1210,1
34,306,282,1
37,22,338,1
38,246,282,1
38,167,4262,1
40,41,3906.8,1
42,167,1262,1
44,221,2148,1
45,202,262,1
45,185,252,1
47,209,928,1
50,152,264,1
50,109,254,1
50,49,3719.2,1
51,227,1094,1
51,58,432,1
54,174,266,1
54,164,2030,1
57,244,276,1
60,161,436,1
61,273,274,1
62,182,316,1
67,103,460,1
69,208,268,1
70,116,252,1
71,203,258,1
73,159,578,1
74,66,895.8,1
76,154,1442,1
77,67,1410.6,1
81,269,460,1
84,27,3010,1
84,125,312,1
85,133,634.2,1
86,88,2817.8,1
88,93,4459,1
90,90,1085.4,1
92,358,262,1
93,311,252,1
94,304,252,1
94,116,304,1
96,86,1956,1
99,359,782,1
99,107,1869.4,1
102,114,1080,1
104,81,1662,1
107,88,1034.4,1
111,46,458,1
111,319,254,1
112,89,920,1
116,3,342,1
123,98,669.8,1
124,12,358,1
124,120,1305.4,1
127,134,655.8,1
131,172,1670,1
134,220,266,1
137,28,472,1
140,78,442,1
140,138,2482,1
143,187,446,1
145,151,896,1
145,161,2314,1
146,142,4364,1
146,158,2563.2,1
147,39,698,1
147,190,884,1
149,219,264,1
155,300,288,1
156,113,384,1
168,172,2466,1
170,240,274,1
171,80,318,1
179,157,788,1
183,50,268,1
184,82,276,1
187,13,274,1
187,325,270,1
188,256,258,1
189,1,258,1
192,168,254,1
193,208,308,1
195,1,268,1
196,149,460,1
196,166,486,1
197,38,304,1
200,82,264,1
200,165,304,1
202,255,254,1
202,195,4336,1
204,144,268,1
204,215,1376,1
205,90,252,1
207,257,280,1
207,111,450,1
209,15,488,1
215,223,732,1
219,246,378,1
220,64,4566,1
221,37,2404,1
222,225,815,1
222,24,402,1
222,184,310,1
224,215,678,1
228,147,562,1
238,250,1044,1
239,64,624,1
241,128,320,1
242,147,454,1
245,245,976.2,1
248,219,440,1
249,54,472,1
250,197,468,1
251,204,450,1
251,139,452,1
252,137,284,1
253,49,300,1
254,157,256,1
258,374,282,1
259,134,732,1
262,158,272,1
264,45,252,1
267,101,312,1
270,37,490,1
270,150,860,1
271,329,470,1
271,78,304,1
272,168,252,1
272,266,1068,1
272,274,526,1
273,167,252,1
273,17,364,1
274,33,256,1
279,118,740,1
285,338,282,1
289,160,622,1
289,46,258,1
290,109,680,1
291,278,1182,1
291,101,390,1
299,17,468,1
301,134,270,1
303,352,582,1
305,315,302,1
312,13,276,1
313,119,908,1
319,146,416,1
320,43,412,1
320,31,286,1
321,322,4608,1
322,283,1590,1
326,335,322,1
327,270,258,1
330,303,254,1
330,278,360,1
331,338,1990,1
332,318,262,1
332,183,410,1
340,359,344,1
341,296,290,1
343,342,254,1
344,345,1710,1
345,313,282,1
346,121,1632,1
353,117,464,1
355,281,252,1
356,95,518,1
360,15,406,1
363,297,266,1
364,345,266,1
366,348,348,1
366,352,262,1
366,363,1298,1
375,51,290,1
376,20,462,1
381,207,3800,1
