origin,destination,demand,index
1,10,530.04,1
2,54,205.6,1
2,101,284,1
3,64,2152.5,1
5,232,573.3,1
5,141,394.6,1
6,114,201.4,1
6,232,1040.2,1
6,1,865.9,1
6,112,274.9,1
7,55,209.8,1
8,63,2827.3,1
8,56,334.4,1
8,163,201.4,1
9,118,202.1,1
9,55,216.1,1
10,225,223.8,1
11,62,452.9,1
11,34,354.2,1
11,127,227.3,1
12,269,210.5,1
12,37,1236.9,1
13,159,1163.4,1
14,129,356.3,1
17,83,791.7,1
18,89,440.3,1
19,141,344.9,1
20,268,248.3,1
20,294,202.8,1
20,227,202.1,1
22,62,213.3,1
23,281,202.8,1
24,381,609,1
25,161,1122.8,1
26,126,200.7,1
27,291,209.1,1
28,63,297.3,1
31,147,1064.7,1
32,78,423.5,1
33,6,273,1
34,306,211.2,1
36,4,1449.7,1
37,22,230.8,1
38,246,211.2,1
38,167,1491.7,1
38,207,214.7,1
38,74,246.2,1
38,29,201.4,1
39,141,1130.5,1
40,41,1367.38,1
40,248,201.4,1
40,244,237.8,1
41,357,910,1
41,223,1383.9,1
42,48,907.9,1
44,250,223.8,1
44,249,243.4,1
44,4,340.2,1
44,201,235,1
45,185,200.7,1
47,209,324.8,1
48,25,226.8,1
49,141,246.2,1
49,146,337.2,1
50,49,1301.72,1
50,152,204.9,1
50,103,204.2,1
51,227,382.9,1
51,206,202.8,1
51,63,352.1,1
52,222,207.7,1
52,18,1580.6,1
53,116,200.7,1
53,11,1221.5,1
54,164,710.5,1
54,174,205.6,1
55,220,204.9,1
57,244,209.1,1
58,246,202.1,1
58,256,211.2,1
59,159,251.1,1
61,108,200.7,1
61,184,385.5,1
62,218,237.3,1
62,182,223.1,1
64,102,205.6,1
65,166,256.9,1
65,169,204.9,1
65,221,223.1,1
65,68,4000.5,1
66,112,201.4,1
67,377,340,1
67,141,266.7,1
70,68,526.4,1
71,203,202.8,1
71,77,2572.5,1
71,172,277.7,1
71,18,2767.8,1
71,166,286.1,1
72,109,202.1,1
73,162,200.7,1
74,66,3135.3,1
74,21,502.6,1
75,70,707.98,1
77,23,2227.4,1
78,278,202.8,1
78,126,204.2,1
78,86,3856.3,1
79,110,201.4,1
79,98,256.7,1
80,150,274.2,1
81,269,273.5,1
82,133,2587.2,1
82,129,532,1
83,189,295.2,1
84,27,1053.5,1
84,39,325.3,1
84,125,221.7,1
84,77,1088.43,1
85,304,201.4,1
85,10,2411.92,1
86,88,986.23,1
86,33,358.4,1
86,188,250.4,1
87,119,291,1
87,89,745.78,1
87,131,658,1
88,153,1683.5,1
88,98,1540,1
88,93,1560.65,1
89,58,342.1,1
90,60,288.9,1
90,147,2100.7,1
91,283,231.5,1
91,182,279.8,1
92,178,217.5,1
92,358,204.2,1
93,325,200.7,1
93,45,324.6,1
